Day,Cash On Hand
11,1757897
12,2395833
13,1366440
14,4836552
15,4727459
16,5711508
17,5273060
18,7685441
19,7724278
20,8778622
21,10524263
22,9049554
23,9778063
24,10600996
25,13047469
26,13514143
27,13419056
28,14113303
29,13827866
30,15315959
31,17526587
32,19372995
33,25525554
34,34649550
35,47386171
36,48617147
37,49261240
38,49897023
39,52170877
40,55017564
41,58587347
42,61508421
43,63745413
44,71726654
45,73621247
46,75992947
47,78549566
48,81617776
49,85976033
50,88520743
51,90641519
52,100011131
53,107464223
54,113762231
55,116232542
56,121565586
57,128912658
58,131427738
59,131675377
60,135274161
61,142539012
62,148642466
63,153606451
64,160247599
65,183227940
66,190332868
67,196283736
68,202233866
69,207217012
70,226091489
71,239398237
72,257790399
73,262380059
74,268928871
75,271707993
76,274527871
77,278561736
78,278417487
79,280075185
80,282651826
81,282985177
82,287640869
83,292674160
84,314879580
85,335461646
86,339421281
87,343110088
88,346716634
89,350354070
90,352729540
